1	大数据时代下网络爬虫的刑事入罪规制	李佳晓	上海政法学院刑事司法学院	2023/12/15	青岛远洋船员职业学院学报	期刊	网络爬虫; 恶意爬虫行为; 主客观统一原则; 罪刑法定原则	大数据时代下，数据信息呈爆炸式增长，网络爬虫作为一款数据搜索引擎应运而生，但在其使用过程中相关数据安全法益遭受到威胁。纵观实践中有关爬虫行为涉及的案件，以相关计算机信息系统被侵害案件与相关公民个人信息被侵害案件居多；而前者所涉及的罪名中，涉嫌非法侵入计算机信息系统和非法获取计算机信息系统数据的罪名较多。网络爬虫作为一项中立性的技术工具，只有在被划归为恶意爬虫行为时才需由刑法予以规制，而由于法律本身存在滞后性的缺点，恶意爬虫行为的入罪路径需要进一步明晰。总体来说，对于恶意爬虫之行为入罪不能脱离基本的定罪原则即主客观相统一原则和罪刑法定原则。	https://kns.cnki.net/kcms2/article/abstract?v=OHSidZhWKUmaITjljQ4FDadToxEFvyZeul4NZnlEzH81p1TV8sCrPqyQGwTiDLuXjYz_9xNnMeUyV0Du2C8O20oLvHIaAgD0sxxWVKSk4vCSfmqWwl21oDBlT7DweD9QNiLJIoC1Zcw=&uniplatform=NZKPT&language=CHS
2	基于Python网络爬虫技术的乡村旅游数据采集与分析	张启宁吴国俊	宁德师范学院	2023/12/15	产业科技创新	期刊	乡村旅游; 网络爬虫; Python; 数据采集	乡村旅游近年来逐渐成为旅游业的新热点，其中，不同的地区因其独特的特色和开发程度呈现出不同的发展态势。乡村旅游不仅促进了地方经济的发展，也为保护传统文化和生态环境提供了重要的机会。在这样的大背景下，如何获取、分析和利用数据变得尤为重要。Python作为一种广泛使用的编程语言，因其强大的网络爬虫工具和简洁的语法，已经成为数据采集领域的首选工具。以霞浦民宿为例，本文详细探讨了使用Python进行数据采集的方法和步骤，以及如何利用直方图和箱线图等工具进行数据分析和可视化。这些工具不仅展示了霞浦民宿的评分分布、集中趋势和偏态情况，还揭示了其中可能存在的异常值，为民宿经营者提供了宝贵的参考，帮助他们更好地理解市场反馈，从而提高服务质量。	https://kns.cnki.net/kcms2/article/abstract?v=OHSidZhWKUnmzwyMhwvojfIw7wxggCb9flMI_odvaHgQcIGlKJuVd0HJc9QDHAFdkUgiy5GNnAOvGcgv949MYaE2zZtbJI5hA3X0DPbGmnmIYzswzl3QJH6VSKAM6ithmSFHHZRZFqg=&uniplatform=NZKPT&language=CHS
3	基于逆向技术的深层网络爬虫与数据分析	邢羽琪杨柽	云南民族大学数学与计算机科学学院	2023/12/5	软件工程	期刊	深层网络爬虫; JavaScript加密; 逆向技术; Ajax; 数据挖掘	"大数据时代，各行各业对数据采集的需求日益增多，其中使用JavaScript加密技术进行数据采集的需求广泛，但也存在不少瓶颈。文章采用JavaScript逆向爬虫技术还原参数加密过程，动态构造出某购物网站商品评价的统一资源定位系统(Uniform Resource Locator, URL),实现了指定分类下多商品评价数据的动态采集，为同类加密数据的采集提供了新的思路。使用SnowNLP[基于Python的中文自然语言处理(NLP)库]对采集到的乐高评论数据进行情感分析发现，约66%的购买者对商品给出了积极评论；情感分布呈极性，高段集中在0.8～1.0,低段集中在0.0～0.2;词云分析显示出购买者群体比较注重商品的快递包装外观。以上结论可为在线商家提升经营管理水平提供参考。"	https://kns.cnki.net/kcms2/article/abstract?v=OHSidZhWKUniJmfiP8pQFkBldffViyvO71WdUbmnZ9wPC-L9Et42RRhoCmScWSdRlPoGK8fowtttrqbrIJFVtaGHZ7WCZBCD-g4Pns4-009HTGVRawR_hvKt7nO0hMDoaRriaHbh7Yc=&uniplatform=NZKPT&language=CHS
4	基于Python网络爬虫技术的海量教学资源获取研究	张海霞	广州华南商贸职业学院	2023/11/28	太原城市职业技术学院学报	期刊	Python; 网络爬虫技术; 海量教学资源; 任务列表; 资源定位; 资源爬取	研究基于Python网络爬虫技术的海量教学资源获取方法，提升教学资源的自动整理以及利用水平，高效获取指定以及不指定的教学资源。该方法通过Wed端下达海量教学资源获取任务指令，并建立资源获取任务列表；服务端分析任务列表中的任务指令后，合理分配教学资源获取任务并定位网页中教学资源；Python爬取端利用Python语言维护爬虫爬取程序后，采用基于蚁群算法的聚焦爬虫爬取方法，爬取定位到的网页中海量教学资源，并将爬取到的资源传送至存储端；存储端利用最大最小距离加权密度的K-means算法，聚类并存储爬取的海量教学资源，完成海量教学资源获取。测试结果显示：该方法海量教学资源的爬取性能较好，爬取相对回报率结果均在0.47以上，可实现不同类别海量教学资源的聚类，聚类纯度高于0.92；可有效获取指定和非指定两种情况下的教学资源。	https://kns.cnki.net/kcms2/article/abstract?v=OHSidZhWKUluXksPMSdmOZtBPRZkC9g_Rq2_YlBZ8iAl5aKCS9ocj67BTpAmCin2ggqO_XY0VN4p7jqB14nd2QF1aANfqEMpoGdumgjEwEs8YLfXt5AjVV9hZ2t91LU3yDeXtYYpQsY=&uniplatform=NZKPT&language=CHS
5	论数据抓取法律风险的流程化管理	饶传平	江西财经大学法学院江西财经大学数据法律研究院	2023/11/8 17:43	东方法学	期刊	网络爬虫; 数据抓取; 风险管理; 自动化; 数据治理; 合规	网络爬虫能够高效抓取数据，是释放数据价值的重要手段。现行立法过于碎片化，难以有效规制不法爬虫、引导正当爬虫的使用；司法对网络爬虫侵入性的认定具有扩大化倾向，阻碍了数据的正常流通与合理使用。就法律而言，网络爬虫是一种能够自动化收集并存储数据的技术。“基于风险的方法”在网络数据治理中得到广泛应用，利用该方法规制数据抓取技术具有正当性与可行性。通过既有案例归纳数据抓取场景中不同爬虫的行为样态，并依据影响对象和影响程度为其匹配不同风险等级，构建爬虫抓取数据法律风险的流程化管理框架，形成基于风险的合规和基于风险的监管，为数据处理者和监管者提供一个具体的风险管理指南。	https://kns.cnki.net/kcms2/article/abstract?v=OHSidZhWKUlOkuCrg1Fv4ad99qulPYtcT8lNZ9cyPiMzDeeN9AmsMgHcQWJ8CSMveVIO5YdYelCEcNAuvXU_HjcqE5xBJcsZLBWfpElyUhE_ylF4vopNvzdUO1cUhXjynfzxGIbDcC0=&uniplatform=NZKPT&language=CHS
6	大数据环境下的信息处理技术分析	杨秀萍	广东农工商职业技术学院	2023/11/5	中国新通信	期刊	大数据; 信息处理技术; 数据采集; 数据存储; 数据处理与分析; 数据可视化; 挑战与趋势	本文系统地分析了大数据环境下的信息处理技术，解读了从数据采集、存储、处理与分析、可视化等方面的各种关键技术。通过案例分析，讨论了这些技术在社交媒体、电商、智能城市和金融风险管理等领域的应用。同时，本文还探讨了大数据信息处理技术面临的挑战和发展趋势，例如数据安全与隐私保护以及大数据信息处理在大模型的应用等。	https://kns.cnki.net/kcms2/article/abstract?v=OHSidZhWKUnKBQxDHMOJvSeziuLYAgLR4HyS0ddmLF2MmCUR52WKw8TBdPrePDWq4qkCvaRKsouAGkrgP3ple1xTZVgXcT_ZujdaAUotckiaY3dcDazuiVghkA0CVjBDoi7yTuBpL78=&uniplatform=NZKPT&language=CHS
7	我国大学体育慕课建设研究：现状、问题与对策	曾祥园1易琼2	1. 浙江师范大学体育与健康科学学院2. 浙江师范大学教育学院	2023/11/3	第十三届全国体育科学大会论文摘要集――专题报告(体育社会科学分会)	中国会议	慕课; 大学体育慕课; 网络爬虫技术; 空间分布	"研究目的:慕课作为一种基于互联网技术的在线教育模式,通过平等的学习机会、个性化学习、开放的学习资源等方式,实现教育公平,提高教育普及率和公平性。教育部采取一系列措施推动高校在线课程建设,如《关于加强高等学校在校开放课程建设应用与管理的意见》、《2017年教育信息化工作要点》、《教育信息化2.0行动计划》等。这些政策文件都积极推动各高校努力推进各学科领域在线教学资源建设,现如今我国慕课数量已居世界第一。然而我国大学体育慕课建设相对滞后,而慕课的教学模式、技术环境、运行策略、质量保证、学习评价等内容还未形成完善体系。本研究旨在全面调查我国大学体育慕课建设现状,发现问题并辅助慕课平台的开发者、大学体育慕课的建设者、大学体育慕课的管理者去对大学体育慕课的建设进行调整优化,促进信息技术与体育教育教学深度融合,促进体育优质教育资源应用与共享。研究方法:1.文献资料法。查阅、整理关于慕课和大学体育慕课相关的研究成果,了解国内外的研究动态,夯实本研究的文献资料基础。2.数据挖掘法。采用网络爬虫技术采集我国大学体育慕课的相关数据并进行分析,以了解大学体育慕课的建设现状。3.对比研究法。从地理学视角,运用..."	https://kns.cnki.net/kcms2/article/abstract?v=OHSidZhWKUkT0Qu-QRwQIP0JB2n6NB-UXrOW-RgIY2DrRkfrlRX44AgrJRwsAFiLT0ZFfKlb6aHC-xlDX19nl54A8nJvyboj6fk2QH8eOs0M8dwvVX5D3wUZ5Fwqm7MCXAcxRgCvf8Cn-uKS3JMW0g==&uniplatform=NZKPT&language=CHS
8	面向舆情监控的智能化自然语言处理算法设计	罗涛谢凤祥李光华	国能大渡河流域水电开发有限公司	2023/10/31	电子设计工程	期刊	舆情; 爬虫; 注意力机制; 风险识别	针对当前网络舆情分析效率较低且准确度不足的问题，开展了基于自然语言处理的智能舆情监控算法设计研究。该研究设计构建了网络舆情智能监控技术框架，其结构包括数据源层、数据采集层、数据处理层与舆情分析应用层。同时在此基础上提出一种融合多维注意力机制的智能舆情监控算法，通过利用网络爬虫技术生成了舆情语料库，采用CBOW词向量模型完成自然语言的结构化表示，并使用多维注意力机制网络挖掘舆情信息与舆情风险之间的内在关联，进而实现了对舆情风险等级的准确监控。仿真分析结果表明，所提出的CBOW模型在自然语言表示上计算速度更快、准确度也较高。而多维注意力机制网络在舆情风险等级预测上更为精确，且能够准确把握网络舆情动向，为企业运营提供指导。	https://kns.cnki.net/kcms2/article/abstract?v=OHSidZhWKUkQwwdZNJAeMpvFHRkh-t_oV5ATzURSuabi86750RPIlznaig9TZkHAKGCKrOoEvn01Pzg8Es5j5BrlPSRbiSlz7StBXCCSPn78zr594DtrB-hs31kWQXwKkWQP9dFzlWtEjIkMXTRzOQ==&uniplatform=NZKPT&language=CHS
9	“双一流”背景下一流大学的示范效应研究――基于爬虫技术对高校调研行为的实证分析	田贵平1赵婷婷2	1. 北京航空航天大学高等教育研究院2. 厦门大学教育研究院	2023/10/20	清华大学教育研究	期刊	一流大学; 示范效应; 组织理论; 网络爬虫技术; 高校调研行为	一流大学示范效应是彰显其价值的重要途径。一流大学的示范效应是一种基于其他高校的模仿而展开的组织学习，在效率机制和合法性机制的双重作用下，其他高校通过竞争性模仿和制度性模仿而使一流大学的示范效应得以体现。运用爬虫技术对高校调研行为的分析表明，我国一流大学的示范效应比较明显，它通过锁链结构渐次传递；行业高校构成了传递示范效应的特殊渠道；示范效应在不同的活动领域存在强弱差异。因此，应重视一流大学的示范效应，构建多维分层的示范体系，提升高校的自觉学习意识和能力，促进“双一流”建设向纵深方向发展。	https://kns.cnki.net/kcms2/article/abstract?v=OHSidZhWKUnNLkxkURKNN0e1Tx5PcGSgEte_syyPQx8zHLyBIyOKEPEBrvGGJta_1ChPAkRSVKvJa98amMwRnYmqjLl1qX2DvAiZRXb8ZPMjlv0lZFcOZvmuNdgDmu9xWYzcbUNnQV0=&uniplatform=NZKPT&language=CHS
10	基于网络爬虫的招聘信息可视化系统设计与实现	何毅平黄媛湛茂溪陈庚	长江工程职业技术学院	2023/9/20	长江工程职业技术学院学报	期刊	招聘信息; 大数据; 网络爬虫; 可视化	近些年，随着互联网行业快速发展，社会信息量呈爆炸式增长，特别是受新冠肺炎疫情的影响，网络招聘规模急剧增长，大量的招聘网站出现，每天都会有海量的招聘信息发布在网络上。如何深层次地发掘出招聘数据源价值，建立可视化分析系统，帮助高职院校客观且全面地了解相关企业招聘实际需求，有针对性地调整专业学科建设以及人才培养方案的制定，是当前研究的热点和难点。系统通过网络爬虫技术对大专院校计算机专业相关岗位进行爬取，并利用大数据技术对数据进行清洗去噪以及MapReduce Top-K算法统计出十大热门岗位和薪水数据，最后借助商业级图表数据库Echarts将分析结果可视化输出，为大专院校的计算机人才培养提供更加客观且全面的数据支撑。	https://kns.cnki.net/kcms2/article/abstract?v=OHSidZhWKUlbW9HAG416Bb8XqDwXF1Ftxmj4jgQwieGZ3yTtBp_0ZqPNYdgQKTxBzm2p76VR17pw-36V9ZV1hXwVftFc2BaW_RLOJTkyMF9F8S2vtKwlOa272IIvf42LcjDiHmSBl7V6rnZ8s8fXPg==&uniplatform=NZKPT&language=CHS
11	基于Python网络爬虫设计与实现	古志敏吴明珠	广州现代信息职业技术学院	2023/9/18	电脑编程技巧与维护	期刊	Python语言; 网络爬虫; 数据解析	随着科学技术的发展，网络资源对人们的生活产生巨大的影响，为了进一步简化查找和精准定位网络资源，网路爬虫技术日渐兴起。Python的兼容性强、社区庞大，因此基于Python的网络爬虫技术逐渐成为主流。分析年轻人的娱乐喜好，采用了基于Python的网络爬虫技术，设计了热门视频信息爬虫程序，实现对视频信息的保存，为后续查看与使用视频信息提供便利。	https://kns.cnki.net/kcms2/article/abstract?v=OHSidZhWKUlEwptIS1eXrIK8Bv1mw967Lnwl_BKnZuVwET12Ox7SWN2GRvkXDdL_ce-erqlY2C8YGEr-y0JW0gRaxFMT5AbsH-yGC1sApRecPXEiSGvpHzA8QeHF4tUdSffBbQxWLMvpRfyuqwuKpQ==&uniplatform=NZKPT&language=CHS
12	在技术与法律之间:网络爬虫刑法规制的边界	"姚万勤1,2宋俊豪1"	1. 西南政法大学人工智能法律研究院2. 中国社会科学院法学研究所	2023/8/31	法治论坛	辑刊	网络爬虫; 反爬措施; 未经授权; 个人信息; 计算机信息	"我国当前对网络爬虫刑法规制的研究存在两个方面的误区:一方面,未正确理解网络爬虫的相关技术问题,认为突破反爬措施的网络爬虫行为具有“侵入性”;另一方面,未注意严格限定研究对象,有意无意地扩张了网络爬虫行为的外延,将与爬虫技术无关的其他行为一并笼统地称作网络爬虫行为。网络爬虫技术本质在于自动化,因此,由网络爬虫所引发的刑法规制问题在于――网络爬虫行为与人工数据获取行为在技术层面上所具有的差异映射到法律层面上时,会产生何种不同的法律后果。具体而言,过度使用网络爬虫可能构成破坏计算机信息系统罪。突破反爬措施的网络爬虫行为的规范意义则需结合相关犯罪的构成要件作进一步考察。即便如此,在没有严重影响他人计算机信息系统正常运行的情况下,只要人工获取数据的行为本身不违法,相应的网络爬虫行为也不具有违法性,理应不构成犯罪。"	https://kns.cnki.net/kcms2/article/abstract?v=OHSidZhWKUmwR5_4MvusUxhxWbKUr87NOTxNSCSuj17P0tNN8dzR_AbiZf9kjiEKUw7Ze8OlxlQbRuxDCNZMlI9VKbar64c_r1RK11xjDv-vNi57Vhh3iCbl6bGOcT5D7m1Ep2kL1sw=&uniplatform=NZKPT&language=CHS
13	网络爬虫行为的著作权问题研究	土真玉	南京理工大学知识产权学院	2023/8/25	河南科技	期刊	网络爬虫; 著作权; 侵权	【目的】网络爬虫行为是目前搜索引擎中的核心技术工具。本研究对网络爬虫行为侵权表现形式及相关法律问题进行分析，为解决网络爬虫行为著作权侵权问题提供建议。【方法】基于网络爬虫技术的概念、基础原理和实际运作，进一步探讨网络爬虫行为侵犯著作权的相关规定与其表现形式，并对其中涉及的法律问题进行整合、讨论与总结。【结果】目前，网络爬虫行为著作权侵权问题主要分为直接侵权与间接侵权。虽然目前有相关规定及规制标准，但判定其是否构成侵权的标准尚未明确与规范。【结论】对该问题规制时应当就网络爬虫行为推动信息网络传播与著作权保护这两方面进行平衡规制，在立法方面应当完善相关方面的法律制度，划清著作权中“作品”范围，健全著作权人的权利保护机制。	https://kns.cnki.net/kcms2/article/abstract?v=OHSidZhWKUmwR5_4MvusUxhxWbKUr87NJ0EMrvde79qrJIsqdBDbrJTYA1iCRhxoz84r_KIvpBJyeDC2jHKsEFqq2Yg3FlsBZG4d34-rGDMNQFFdwur409oUkAEvLF80r0Vkj3yGWpkWuQsYSo78aA==&uniplatform=NZKPT&language=CHS
14	恶意网络爬虫行为的刑事规制及其完善	彭新林赵辉	北京师范大学刑事法律科学研究院	2023/7/31	刑法论丛	辑刊	网络爬虫; 计算机系统安全; 技术属性; 数据安全法益	"大数据视野下网络爬虫的实践滥用需要引起刑事法对数据系统安全保护的重视。恶意爬虫行为对数据系统安全形成刑事风险,法律对其评价也逐渐由民法领域转向刑法视野。通过明晰数据与信息的边界,进一步强调用刑事手段保护数据系统安全之必要性,坚持数据开发与保护的理性站位,采用想象竞合的立场处理同时侵犯爬取内容层面与技术层面的恶意侵入爬虫,进一步强调数据的技术属性以重视数据安全法益,从而体现刑法在技术层面对数据的运用与符号化表达之正面回应。"	https://kns.cnki.net/kcms2/article/abstract?v=OHSidZhWKUk46zG2UoiryUnzycyw_KsJcd5eG7aBNC_dgT5TQWRM5wyd8QV9-IiHWKo1gDBc1jhQ6fYSsMutPyHC3PuRCMtSy90rtrHAVyfO8G6d45cANdEXaCOfDRQarDYokRuYJAg=&uniplatform=NZKPT&language=CHS
15	网络爬虫技术在获取及分析审计证据中的应用研究――以金正大为例	常启军李玲玲	桂林电子科技大学	2023/7/15	财会研究	期刊	大数据; 网络爬虫技术; 审计效率	随着信息技术的快速发展，各行各业已进入大数据时代。审计作为一个数据密集型行业，如何运用科学的工具对大数据进行抽丝剥茧，以高效获取审计证据已经成为近期国内的热点。文章首先阐述了在大数据的影响下审计过程中各环节的变化，在此基础上，分析了网络爬虫技术在审计证据挖掘与分析过程中的原理。最后，以金正大审计为例，分析爬虫技术是否可实现高效获取和分析审计证据。研究结果表明，爬虫技术可运用于大数据审计中，有效帮助审计人员，提高审计效率。	https://kns.cnki.net/kcms2/article/abstract?v=OHSidZhWKUk-4eXNqf36O6czKI8fePQGdTDkP4YNiIJrOUt4coL2Dc8PIasGr5ZsKFIMB93ajljocvbPPPJ2QiEmp6nLyCU2fqzTtbb6SczqyV1CXcLLUV1npFwOJl7mxVTo-CLD1ux-WN2YUHsWrA==&uniplatform=NZKPT&language=CHS
16	基于RPA技术的财务机器人业务自动化处理平台构建	聂玺	陕西青年职业学院	2023/6/25	自动化与仪器仪表	期刊	RPA技术; 网络爬虫; 财务机器人; 分类准确率; 业务自动化	如今，财务领域仍然保有大量低效的人工处理任务。因此，借助基于RPA技术的财务机器人以提高财务人员的工作效率至关重要。为了自动获取网页财务字段以及实现财务数据的智能分类以便归档，设计了依靠聚焦式网络爬虫技术的财务数据自动抓取机器人和TF-IDF算法的财务分类机器人，并最终构建了以这两种财务机器人为核心的业务自动化处理平台。经实验测试显示，自动爬虫机器人可以良好地生成XML文件，无论事先设置XML数量为何值，准确率均高于90%。TF-IDF算法在分类准确率、召回率以及F1值均获得了更好效果，对应值分别为71%、85%以及92%。因此，研究采用的两种财务机器人均能良好实现业务自动化处理操作，从而提高财务人员的工作效率。	https://kns.cnki.net/kcms2/article/abstract?v=OHSidZhWKUkb1Nx28w2BITbzFsIJwRYHPRX_cLs3YD4VfgA8GWmGXuLHbujxtuiHyy3WtthMyZGuxHd8BAcEL_9bxkwn3Bil0kgKQef3QK_GuCstDSxlv3sh0hqE_itMCmVF2Q8VC7-v5vPPvf_LSA==&uniplatform=NZKPT&language=CHS
17	网络爬虫技术侵犯公民个人信息的刑事规制	卜天石	中国政法大学	2023/6/25	网络空间安全	期刊	网络爬虫技术; 非法获取; 个人信息; 数据安全; 刑事规制	[目的/意义]网络爬虫技术的运用，既为互联网发展带来巨大经济和技术效益的，同时也在公民的个人信息安全方面埋下隐患。依据《中华人民共和国刑法》对网络爬虫技术行为中侵犯公民个人信息罪进行规制，有利于维护网络空间安全，促进良好的网络生态的形成。[方法/过程]基于合法性原则和法益保护原则，对网络爬虫行为分步骤进行法律性质的辨析。首先通过合法性原则用以识别网络爬虫行为是否违法，其次通过法益保护原则来最终认定网络爬虫行为的罪与非罪、此罪与彼罪的问题。[结果/结论]只有同时满足违背合法性原则和法益保护原则的网络爬虫行为，可以通过《刑法》第253条第3款予以规制。	https://kns.cnki.net/kcms2/article/abstract?v=OHSidZhWKUlYdGfv2ccUHwTlWuq0eUVF10EMOZ1dmnMeBgpEyTsLlS82cwIjMp7WXlD94rjLBj9uiA64PtX5OpSU61WLkg-605zbCWsAoWmXPjS1V5NEpbEFv9VMzm6ciwlYuTHfvkjEsZjNB7VZxA==&uniplatform=NZKPT&language=CHS
18	基于网络爬虫技术的企业大数据采集系统设计	张雁涔	忻州职业技术学院	2023/6/25	信息与电脑(理论版)	期刊	爬虫技术; 大数据采集; 系统设计; 企业信息	"为便于企业进行信息筛选和采集,文章采用网络爬虫技术设计企业大数据采集系统,使企业大数据采集系统更符合时代发展的需求,即要确保采集数据信息的精准性、有效性、及时性,拟在解决数据精准匹配问题的基础上,优化系统的处理和运行效率。"	https://kns.cnki.net/kcms2/article/abstract?v=OHSidZhWKUmwsQpHbUBOums-8CcjmY70PF9-yeoPRDPXsJbsocByRVjMwdIXdSmlPOwRCOIVYG1PZEVNldrVv_lFe6R4CnRgpEbG36CFSzq_gURj0e8XXodCgBXaenLiTt9Y-9FkqN0Hx4W9WxBvrw==&uniplatform=NZKPT&language=CHS
19	基于大数据抓取的供应商不良行为数据监测方法	严峻马路遥龙铭崔北为	国网安徽省电力有限公司物资分公司	2023/6/20	微型电脑应用	期刊	大数据抓取; 供应商; 不良行为; 数据监测; 行为数据	传统供应商选择弊端较为明显，为此，提出基于大数据抓取的供应商不良行为数据监测方法。选取大数据抓取技术――网络爬虫技术获取供应商行为数据，按照时间先后顺序将供应商行为数据转换为平稳时间序列，利用拉格朗日插值算法补全行为数据的缺失，构建ARIMA模型，估计模型参数数值，确定不良行为数据辨识空间，通过拟合残差序列比较获取供应商不良行为数据辨识结果，实现不良行为数据的监测。通过实验数据可知，应用提出方法能够准确地辨识出多种类型的不良行为数据，证明提出方法具备更好的监测性能。	https://kns.cnki.net/kcms2/article/abstract?v=OHSidZhWKUmfdidrzhAw5a6E-bKD05OLvuFGAyR1ikH_lN1cR3VTSLotJcwTJtWH7jPln4eYtaxj2_HaUNiThTlrULRyAEP099BEDvxusBSNhOUSRwyyPWN87Ja0Mhe6pRCPV8M-qKSeXgS1HtHqIg==&uniplatform=NZKPT&language=CHS
20	浅谈信息技术在课程思政教学改革中的应用	杨茜	重庆财经职业学院	2023/6/20	国家通用语言文字教学与研究	期刊	信息技术; 课程思政; 教学改革	在推进教育现代化的进程中，对信息技术的充分应用是体现教育现代化的重要标志之一。在课程思政教学中融入信息技术，教师可以实现教学情境的创设、互动动漫的制作、考评体系的优化、网课设计的完善，对提升学生学习效率、提高课堂教学质量有着重要的作用。对此，通过分析信息技术在课程思政教学改革中的应用优势，在此基础上探究信息技术在课程思政教学改革中的应用策略，以期激发学生学习的主动性，促进学生学习效率和学习质量的提升。	https://kns.cnki.net/kcms2/article/abstract?v=OHSidZhWKUmfdidrzhAw5a6E-bKD05OLvuFGAyR1ikGFW4Loc9MH_PnmHBAcUPbMJC-46MC884L66Jx_9qbG4MoWcRHkG8F_ltLfS4p9bCN1_hdnmr7kz6AT5GiR4n9OesQeQVQKslXAThBYhqhf_w==&uniplatform=NZKPT&language=CHS
